Climate adaptation planning for cultural heritages in coastal tourism destinations: A multi-objective optimization approach,"Substantial climate change impacts threaten the persistence of cultural resources globally. The need exists for conceptualizing decision support tools that focus on quantifying and optimizing the managerial priorities to leverage historic preservation and adaptation actions that enhance the continuity of heritage values and sites. Informed by the Structured Decision Making (SDM) approach, this study advances the singular objective Optimal Preservation (OptiPres) Model, a decision support tool for climate adaptation planning of historic buildings by considering three tourism management objectives: (a) maximize accumulated resource value, (b) maximize cost-efficiency, and (c) minimize vulnerability. These objectives are tested under different budget scenarios using a 30-year planning horizon with a subset of buildings located in two historic districts of Cape Lookout National Seashore (CALO), United States. The multi-objective approach demonstrates the OptiPres Model is transformative, transparent, and transferable for providing cultural resource decision support and enhancing the sustainability of cultural heritage globally. © 2021 The Authors"
An urban energy balance-guided machine learning approach for synthetic nocturnal surface Urban Heat Island prediction: A heatwave event in Naples,"Southern European functional urban areas (FUAs) are increasingly subject to heatwave (HW) events, calling for anticipated climate adaptation measures. In the urban context, such adaptation strategies require a thorough understanding of the built-up response to the incoming solar radiation, i.e., the urban energy balance cycle and its implications for the Urban Heat Island (UHI) effect. Despite readily available, diurnal Land Surface Temperature (LST) data does not provide a meaningful picture of the UHI, in these midlatitudes FUAs. On the contrary, the mid-morning satellite overpass is characterized by the absence of a significant surface UHI (SUHI) signal, corresponding to the period of the day when the urban-rural air temperature difference is typically negative. Conversely, nocturnal high-resolution LST data is rarely available. In this study, an energy balance-based machine learning approach is explored, considering the Local Climate Zones (LCZ), to describe the daily cycle of the heat flux components and predict the nocturnal SUHI, during an HW event. While the urban and rural spatial outlines are not visible in the diurnal thermal image, they become apparent in the latent and storage heat flux maps – built-up infrastructures uptake heat during the day which is released back into the atmosphere, during the night, whereas vegetation land surfaces loose diurnal heat through evapotranspiration. For the LST prediction model, a random forest (RF) approach is implemented. RF results show that the model accurately predicts the LST, ensuring mean square errors inferior to 0.1 K. Both the latent and storage heat flux components, together with LCZ classification, are the most important explanatory variables for the nocturnal LST prediction, supporting the adoption of the energy balance approach. In future research, other locations and time-series data shall be trained and tested, providing an efficient local urban climate monitoring tool, where in-situ air temperature observations are not available. © 2021 Elsevier B.V."
Multi-hazard susceptibility and exposure assessment of the Hindu Kush Himalaya,"Mountainous regions are highly hazardous, and these hazards often lead to loss of human life. The Hindu Kush Himalaya (HKH), like many mountainous regions, is the site of multiple and overlapping natural hazards, but the distribution of multi-hazard risk and the populations exposed to it are poorly understood. Here, we present high-resolution transboundary models describing susceptibility to floods, landslides, and wildfires to understand population exposure to multi-hazard risk across the HKH. These models are created from historical remotely sensed data and hazard catalogs by the maximum entropy (Maxent) machine learning technique. Our results show that human settlements in the HKH are disproportionately concentrated in areas of high multi-hazard risk. In contrast, low-hazard areas are disproportionately unpopulated. Nearly half of the population in the region lives in areas that are highly susceptible to more than one hazard. Warm low-altitude foothill areas with perennially moist soils were identified as highly susceptible to multiple hazards. This area comprises only 31% of the study region, but is home to 49% of its population. The results also show that areas susceptible to multiple hazards are also major corridors of current migration and urban expansion, suggesting that current rates and patterns of urbanization will continue to put more people at risk. This study establishes that the population in the HKH is concentrated in areas susceptible to multiple hazards and suggests that current patterns of human movement will continue to increase exposure to multi-hazards in the HKH. © 2021 The Authors"
One Versus All: Best Practices in Combining Multi-hazard Damage Imagery Training Datasets for Damage Detection for a Deep Learning Neural Network,"Accurate and timely damage assessment is important after any natural disaster event. Accurate damage assessments enhance the efficient distribution of resources. Building damage levels are an important outcome of damage assessment, especially in urban areas. Although at present most building damage assessments are collected manually from post-disaster satellite images or aerial photographs, efforts are now underway to automate the process. Some of these efforts use deep learning algorithms to first identify buildings and then to classify them into damage levels. One of these efforts initiated in 2019, through the Defense Innovation Unit (DIU) and with Humanitarian Assistance and Disaster Recovery (HADR) organizations, created a multi-hazard training dataset using high-resolution satellite imagery from pre- and post-event imagery (xBD). Across 19 natural disaster events including tornados, wildfire, earthquake, hurricanes, volcanos, flood, and tsunami, buildings were identified and classified into four classes: no damage, minor damage, major damage, and destroyed. Participants in the challenge were expected to use deep learning algorithms to perform the classification. They were also provided with a base classification algorithm, in which participants were encouraged to improve. The base algorithm contained RESNET50 trained on ImageNet database and three additional convolution and max pooling layers. This project analyzes the quality of the training dataset, discusses the pros and cons of combining training dataset across multiple natural disaster events, and provides recommendations on using the provided training dataset to optimize classification accuracy. Specifically, we will provide recommendations on creating class balance in the training dataset, in which damage labels are the most identifiable. We will also provide an assessment on which natural disasters lead to damage that is most identifiable using satellite imagery in which natural disasters lead to less accurate damage assessments. We will also examine pooling training data across natural disasters to achieve more accurate classifications. © 2022, The Society for Experimental Mechanics, Inc."
Disaster City Digital Twin: A vision for integrating artificial and human intelligence for disaster management,"This paper presents a vision for a Disaster City Digital Twin paradigm that can: (i) enable interdisciplinary convergence in the field of crisis informatics and information and communication technology (ICT) in disaster management; (ii) integrate artificial intelligence (AI) algorithms and approaches to improve situation assessment, decision making, and coordination among various stakeholders; and (iii) enable increased visibility into network dynamics of complex disaster management and humanitarian actions. The number of humanitarian relief actions is growing due to the increased frequency of natural and man-made crises. Various streams of research across different disciplines have focused on ICT and AI solutions for enhancing disaster management processes. However, most of the existing research is fragmented without a common vision towards a converging paradigm. Recognizing this, this paper presents the Disaster City Digital Twin as a unifying paradigm. The four main components of the proposed Digital Twin paradigm include: multi-data sensing for data collection, data integration and analytics, multi-actor game-theoretic decision making, and dynamic network analysis. For each component, the current state of the art related to AI methods and approaches are examined and gaps are identified.
"
Flood susceptibility modelling using advanced ensemble machine learning models,"Floods are one of nature's most destructive disasters because of the immense damage to land, buildings, and human fatalities. It is difficult to forecast the areas that are vulnerable to flash flooding due to the dynamic and complex nature of the flash floods. Therefore, earlier identification of flash flood susceptible sites can be performed using advanced machine learning models for managing flood disasters. In this study, we applied and assessed two new hybrid ensemble models, namely Dagging and Random Subspace (RS) coupled with Artificial Neural Network (ANN), Random Forest (RF), and Support Vector Machine (SVM) which are the other three state-of-the-art machine learning models for modelling flood susceptibility maps at the Teesta River basin, the northern region of Bangladesh. The application of these models includes twelve flood influencing factors with 413 current and former flooding points, which were transferred in a GIS environment. The information gain ratio, the multicollinearity diagnostics tests were employed to determine the association between the occurrences and flood influential factors. For the validation and the comparison of these models, for the ability to predict the statistical appraisal measures such as Freidman, Wilcoxon signed-rank, and t-paired tests and Receiver Operating Characteristic Curve (ROC) were employed. The value of the Area Under the Curve (AUC) of ROC was above 0.80 for all models. For flood susceptibility modelling, the Dagging model performs superior, followed by RF, the ANN, the SVM, and the RS, then the several benchmark models. The approach and solution-oriented outcomes outlined in this paper will assist state and local authorities as well as policy makers in reducing flood-related threats and will also assist in the implementation of effective mitigation strategies to mitigate future damage.

"
Emergent vulnerability to climate-driven disturbances in European forests,"Forest disturbance regimes are expected to intensify as Earth’s climate changes. Quantifying forest vulnerability to disturbances and understanding the underlying mechanisms is crucial to develop mitigation and adaptation strategies. However, observational evidence is largely missing at regional to continental scales. Here, we quantify the vulnerability of European forests to fires, windthrows and insect outbreaks during the period 1979–2018 by integrating machine learning with disturbance data and satellite products. We show that about 33.4 billion tonnes of forest biomass could be seriously affected by these disturbances, with higher relative losses when exposed to windthrows (40%) and fires (34%) compared to insect outbreaks (26%). The spatial pattern in vulnerability is strongly controlled by the interplay between forest characteristics and background climate. Hotspot regions for vulnerability are located at the borders of the climate envelope, in both southern and northern Europe. There is a clear trend in overall forest vulnerability that is driven by a warming-induced reduction in plant defence mechanisms to insect outbreaks, especially at high latitudes. © 2021, The Author(s)."
Development and validation of climatic hazard indicators for roselle (Hibiscus sabdariffa L.) crop in dryland agriculture,"Two of the major challenges in achieving food security in the future are: (1) the increase in demand for food due to constant high population growth and (2) the increase in adverse climatic conditions, due to global climate change, that will affect crops. Currently, no universal indicators are available to identify the effect of extreme climate events on specific crops of nutritional and commercial importance, as they need to be developed according to each species’ physiology. Likewise, it is necessary to develop production qualifiers that allow us to identify whether the agricultural year presents high or low climatic hazards for a specific crop. In this study of roselle (Hibiscus sabdariffa L.) grown in dryland agricultural conditions in the Bajo Balsas, Michoacán, Mexico, we aimed to 1) generate and validate climatic hazard indicators and 2) propose an equation to calculate annual climatic hazards, considering the different phenological crop stages. We present both phenological and climatic information that is used for the development of 13 agroclimatic hazard indicators that have been proposed for the roselle crop in La Huacana a municipality in Michoacán. Artificial intelligence and neural networks were used for both weight variable identification in the equation and to validate the annual classification, which is derived from the proposed equation. Our proposed equation for the quick assessment of agroclimatic hazards for the roselle crop is a new tool that helps in planning and decision-making in the face of the growing presence of extreme climate events. © 2020 The Authors"
Study of Climate Change Detection in North East Africa using Machine learning and Satellite Data,"The study of climate change has become an important topic, because of its negative impact on human life. The North-East African part lacks the studies for climate change detection, despite it being one of the most affected parts worldwide. The relationship between the emission of greenhouse gases (GHGs) and climate change is an important factor to understand. To investigate this linkage, we used machine-learning models based on essential climate variables to investigate the relationship between the GHGs and the rhythm of climate variable change. The research investigates how machine learning techniques can be applied to climatic data to build an ML model that able to predict the state of climate variables for the short and long term. By selecting a candidate model, will help in climate adaptation and mitigation, also determine at what level GHGs should be kept and their corresponding concentrations in order to avoid climate events and crises. The used models are long short-term memory, autoencoders, and convolutional neural network. Alternatively, the data set has been selected from UK National Centre for Earth Observation (NCEO) and Copernicus Climate Change Services (C3Ss). We compared the performance of these techniques and the best candidate was the Head CNN; based on performance metrics such as Root-Mean-Squared-Error (RMSE): 5.378, 2.395, and 15.923, and R Coefficient: 0.607, 0.806, and 0.539 for the variables temperature, CO2, and CH4 respectively. We were able to link the greenhouse gas emission to essential climate variables with high accuracy based on the reading of this geographic area. Author"
AI Alignment of Disaster Resilience Management Support Systems,"This paper presents an application of Artificial Intelligence (AI) prospective studies to determine the most suitable AI technologies for implementation in Disaster Resilience Management Support Systems (DRMSSs). The pivotal role in our approach is played by the security needs analysis in the context of most common natural disasters and their co-occurrence with other threats. The AI trends and scenarios to align with are derived according to foresight principles. We apply expert knowledge elicitation and fusion techniques as well as a control model of technology dynamics. The pre-assessments of security needs and technological evolution prospects are combined to rank and select the most prospective AI methods and tools. Long-term ex-ante impact assessment of future disaster resilience improvements resulting from different DRMSS implementations, allows for the identification of the most suitable AI deployment variant. The target market of the DRMSSs under study includes industrial corporations and urban critical infrastructures, to become part of their Industry 4.0 ecosystems. The models of protected area and its environment are continually updated with visual monitoring and other sensors embedded in the Industrial Internet-of-Things infrastructure. The software architecture of DRMSS focuses on model-based decision support that applies fuzzy-stochastic uncertainty and multicriteria optimization. The business processes behind the AI alignment follow these goals. In the conclusion, we will show that DRMSS allows stakeholders to reach social, technological, and economic objectives simultaneously. © 2021, Springer Nature Switzerland AG."
